Name,Comment,Time,Likes,Reply Count
Russell Brand,"Hey! 👋 

Thanks for watching! If you'd like to listen to the rest of this podcast with Jordan Peterson then click on the link below -

https://youtu.be/kL61yQgdWeM

or listen on Apple Podcasts here: 

http://apple.co/russell",2021-07-22T17:01:35Z,625,79
Conner,Thanks for being an honest thinker Russel its rare,2022-09-03T17:04:57Z,0,
Competitive Antagonist,"What's interesting is that psychometrics also observes that critics of the scientific consensus of cliamre change tend to be individualistic, pro-corporations and anti-government. People who accept the consensus tend to be the opposite. People rarely seem to make rational choices and are victims to their identities.",2022-08-11T06:54:18Z,1,
ark_bleu,"2:15 “The people who are the enemy of masculinity in men will also be the enemy of masculinity in women”

Respectfully, I’d say this seems a bit oversimple. When Jung is right, he’s uncannily so. Other times it’s like using  legos for advanced architecture",2022-07-24T14:51:57Z,0,
MEHDI NOUIOUI,"Thank Russel, you are a brave celebrity that wants good for humanity and the world, please look into religion and the purpose of life, we loved your talk we Cat Steven",2022-05-02T20:15:03Z,0,
Reverend BlueJeans,"Hay Russel, before I listen. I can't believe it.",2021-11-23T12:15:41Z,0,
John Strawb,"@Russell Brand - 0:37 Peterson appears entirely incapable of addressing your points. All he has here is the ability to steer what you had to say towards his preset assertions. He's not conversing. He's speechifying. His behavior after 4:30 only supports this. Peterson is someone who has said he refuses to quote Marx because that is somehow dangerous. This is not an authentic intellectual. His stuffing Marx into a box with Stalin is pitiful, but symptomatic.",2021-10-24T02:12:32Z,0,
Dos Dahrk,Hello brother...hope all is well...thankyou for this interview...jordan is a person who i greatly admire and to listen and hear what you two gents are discussing is soooooo refreshing...again thanks for the time taken to have these conversations,2021-08-08T13:16:24Z,0,
Lex Remillard,I’m glad you got sober and didn’t die. Love is real.,2021-07-27T14:25:01Z,1,
Michael H,That metro feminist man bun is so 2000,2021-07-27T11:34:21Z,0,
Titan29V,"Awesome conversation, keep up the amazing work Russel.🤗",2021-07-27T02:00:17Z,0,
KooK Fitness,"We need to push for all of our American Politicians as far as the Presidential Debates go, to be put on a platform like this or Joe Rogan’s as a mandatory stop on the way to Presidency. No more sound-bite decision making.",2021-07-26T04:11:46Z,0,
