Name,Comment,Time,Likes,Reply Count
StephIsCold,"https://www.stephoniscold.com/5things

Join Patreon.com/StephIsCold 

Instagram.com/StephIsCold",2020-06-29T18:31:23Z,47,5
Elevated Soul,Mother expresses how my father and grandfather had multiple woman and how they were selfish. 🤔 Yet these were men they choose to continually pursue. 🤷🏿‍♂️ It is what it is,2020-07-24T01:59:04Z,0,
Christian Zilla,Whats the song in intro,2020-07-20T18:21:19Z,0,
DT,"""You know i always liked you"" 🤣🤣🤣. Me- I know. Bend over and arch that back. Hit Bout 3 times and then im out. Lol",2020-07-04T17:36:48Z,0,
hella banz,Thank you for the truth neva stop,2020-06-30T09:03:16Z,1,
TraderOfGods GT,"nvm, I feel stupid for asking what a 304 is now",2022-07-14T19:50:55Z,0,0
Heisenberg,"""The moment you fall for her trap, it's a wrap"" - Pastor Steph",2022-06-25T21:47:40Z,0,0
LEVI CHINO,💯💯💯💯💯,2022-05-12T18:41:40Z,0,0
James Pain,“ what’s a 304 ??? “ 😂😂😂😂 you a fool Steph,2022-05-09T03:54:53Z,0,0
Angel I G-S,My cousin put me on to Stephiscold. Not gonna lie. He’s speaking facts. You think she’s not like that but you’ll eventually realize that your just been stupid. You lie to yourself everyday. You give her power to your life everyday. You have to stand on your man hood and have no expectations for the disrespect. These type of girls will squeeze your energy your pockets and your time. The moment she feels like you have nothing else to offer I promise. She will leave and blame you. And if your dumb enough to believe it you’ll always will be step on and laughed at. You have to accept it and move on. You took an L oh well lesson learn not the end bro. Work on yourself.,2022-05-07T01:21:10Z,0,0
D,I’ve accepted this and I’m enjoying the new me,2022-03-31T13:18:45Z,0,0
Fahn Fahn,It hurts to know the reason you got hurt is because you're forwards,2022-03-19T01:25:51Z,0,0
me me,Never ever believe anything a woman says. The exact opposite of what they say is what they want,2022-03-01T16:05:20Z,1,0
Double M 11/08,"It pisses me off that women choose the men who are assholes toward them, who’ll abuse them and shit like that instead of dating a nice guy. I’ll never understand why some women are like that. This generation of dating sucks. Since when did it become a bad thing to be “too nice” to a woman? If she wants me to change ha good riddance. Another thing that pisses me off is the term “simp”. Who came up with that lame word anyway? I bet some immature, little boy.",2022-02-17T21:59:50Z,2,0
Alicia 🗝️,I wish u did videos for women 😂 cuz u for sure speak straight facts 💯 i laughed a few times watching this bc a lot of it is just true. Esp the part when u said after a break up the girl goes to the guy shes always lusted over cuzzzzz yea. I like watching these videos to see how yall b thinking. I just like learning about human psychology in general and the way the mind works 🤷🏻‍♀️You should think about doing a channel for women too 😂 we need you too 😂,2022-01-16T13:28:59Z,0,0
Bj Spinks,💯💯💯,2022-01-06T00:21:19Z,0,0
SHIKO,Love you dude not in a gay way though,2021-12-29T14:04:01Z,0,0
Davie Dood,Women love competing against other's. It boost their egos when they WIN against other fine @ss girls. Makes them feel like a celebrity or something. Status. He must have something for all these girls to want him and I won etc.,2021-12-24T03:44:58Z,2,1
Davie Dood,U gotta take the opposite of what they say. It's the opposite game with them. They can't say out loud what they really feel bc it makes them look cheap and easy.,2021-12-24T03:46:43Z,1,
Keonte' williams,"man g, knowing how to maneuver w/ the game to make sure you win at all times is the best advice i could’ve ever got",2021-12-04T19:35:20Z,0,0
Sean Moyo,Mannn you been helping me,2021-11-24T06:38:28Z,0,0
Super Saiyan,This only 23 😂😂,2021-11-22T22:22:14Z,0,0
Danny Livingstone,We need your knowledge and the reminders of what we know deep down already  bro. Never stop 🛑,2021-09-30T01:32:39Z,0,0
Unknown 3000,It's simple women  think backwards that's why they like it from the back,2021-09-24T08:02:26Z,0,0
SharrpSh00ter100,Fax!,2021-09-03T17:39:20Z,0,0
TJ,Because their basically just being used to attract more girls like a porsch or a fancy car?,2021-08-05T18:31:21Z,0,0
TJ,That may be true but a lot of times aren't women basically k wasting their life by being with toxic males,2021-08-05T18:29:36Z,0,0
Bryson Strong,All u hear a lot is “toxic”....imma grown ass man ....tf I look like playing emotional games....I got better stuff to do,2021-07-22T11:48:07Z,1,2
Bryson Strong,"@Directedbyrob bruh it’s not that , I don’t adjust myself to fitting what that want or love .....it’s about being who u are n they can either accept or move tf on ...I’m not put on this earth to indulge in their weird, childish fantasies .....as a Man U supposed to stand on that ....if they want me , they don’t have a choice but to accept it",2021-07-22T23:10:05Z,1,
Directedbyrob,you’ll never win then g,2021-07-22T15:32:08Z,0,
ScarPlayz 14,This video unlocked my brain,2021-07-20T13:46:52Z,0,0
Hope-Jr Webber,.,2021-07-10T11:20:45Z,0,0
Black Pill,I’m the guest star in the soap opera where your girl cheat on you.,2021-05-28T19:25:59Z,0,0
WILLIAMS USIFOH,What's the name of the intro track?,2021-05-11T15:25:20Z,0,0
Christoofunny G,🔥,2021-05-01T13:04:34Z,0,0
Kali Samsara,"Lmao
You're right bro",2021-04-15T00:34:25Z,0,0
morning glory.,Me here watching this video to find red flags and never date a guy like that ✨~,2021-04-07T10:13:19Z,0,0
Thorithoo 504,Muchas gracias stephls por tus videos en un futuro  espero pongas subtitulos en español  bendiciones ✊,2021-04-07T07:43:09Z,0,0
Olwethu Shabangu,"I believe in patterns not words. If it walks like a B dresses like a B attitude of a B, it is a B.",2021-03-29T14:16:46Z,0,0
SOOTHING RAIN SOUNDS FOR LIFE,i got it 7:48,2021-03-22T20:00:18Z,0,0
SiMbaVTV Entertainment,As of 2021 March 18 women are Now admitting to liking toxicity I just I had one tell me straight up,2021-03-18T16:38:57Z,0,0
NikeBoaSwooshedUpCoppin,They arent good ppl and they have to hide it then no?,2021-03-09T02:06:55Z,0,0
Lawrence Tierney,Steph the mannn,2021-02-10T23:02:12Z,0,0
Perkedout,No point of dating of getting in a  relationship,2021-02-07T23:23:56Z,2,0
Graphic tips,What she complains about is what she love. Copy dat,2021-02-06T12:34:30Z,0,0
Siyasang Gamalihleli Ntombini,Cold truth from Steph,2021-01-22T15:35:13Z,0,0
Giorno,"Dad: Girl's want alot of things and it's disgusting 
Son: love 🥰
Dad: THE FUCK NO😑
(Shows son a picture of what female's want🍆🍆🍆🍆🍆🍆🍆🍆🍆🍆)
Son:😨",2021-01-16T02:59:27Z,0,1
Impetus Creations,Is true...yuh cold fi real...Bumboclaat star.,2021-01-01T03:40:36Z,0,0
spacepod100,ive literally lost faith in females at this point,2020-12-21T15:35:27Z,7,0
Luh Reil,Fax,2020-12-09T19:12:02Z,0,0
DarwinGabriel Palacios,Can anyone let me know what was the song in the start of the video,2020-12-07T02:25:13Z,0,0
Rashod Johnson,bro this one girl told me i know you got hoes she said as long as she is the favorite its fine.,2020-11-29T06:38:50Z,3,0
Trvde !,I’m naturally toxic and I been having a chick in my rotation for 2 years she just keep coming back after I dog her out,2020-11-28T23:12:22Z,4,0
chipo dube,I used logic on this woman and she got all up in her feelings and called me bad,2020-11-24T00:02:55Z,1,0
GinDGinnest,—___—,2020-11-11T19:36:14Z,0,0
einsiLOL,Who hurt you😔,2020-11-06T12:36:59Z,1,0
Ewan McCoubrey,So don’t give a shit or control her? I’m confused,2020-10-30T01:11:21Z,0,1
Basi Dan,Not giving a shit is controlling her,2021-03-14T11:51:18Z,0,
M Marcjp,It seems like the more I treat my ex bad the more she come back. I never understand that.,2020-10-29T18:14:15Z,1,0
Joe Mac,"Another great video player!! LMFAO @ the ""304"" comment!!!!",2020-10-26T03:25:01Z,0,0
Jdp_ 1597,"Shawty loves toxic men so they have something to post of social media, thats why i ""scare"" off some women becuz im laid back drama free and focusing on my business that help me weed out the bad ones",2020-10-16T19:55:24Z,6,0
 Subliminals 🌍🌬,304s are backwards lol shit I started laughing after I connected a few dots😥,2020-10-16T13:37:41Z,0,0
Francois Nel,"I heard that. Girl told me all she wants is good sex / multiple orgasms.  Not acted on it though, on MGTOW vibes at the moment.",2020-10-07T21:25:15Z,1,0
K. TouΣΣaint,A 304 is a hoe for those who struggling with that lol,2020-10-06T08:49:15Z,0,0
Ben Tribelli,Dang man. This is so crazily true.,2020-10-06T02:38:02Z,0,0
Anna St.,I love the red doorag❤,2020-10-02T04:54:23Z,0,0
victoria zyskowski,"Don’t know how I stumbled upon this but let me tell anyone watching this and listening to this. You will never understand a woman. Women who like toxic men have been abused by their fathers and look for validation from people who either abuse them or ignore them like their fathers. Stop feeling pity for urself because you can’t get the 10 you want and stop obsessing over these kinds of videos first of all. Be clean kind and have a good personality. You can get a clean kind and good woman then. Trust me when I say this, ur not an alpha male if you even have the word alpha male in ur vocabulary",2020-09-29T18:46:04Z,1,0
Jeeb.thatruth,Brah you only 22? Thought you was bout 26,2020-09-23T16:08:42Z,0,0
Brendan Fogel,She a simp for me but I ain’t simp for her. Bih loves me bruh😭😭😭.,2020-09-21T21:22:25Z,1,2
kawaiiwaste,thats how it should be bro,2020-11-05T17:33:18Z,1,
Book Of T,it be like that😭😭💀,2020-10-16T20:50:14Z,2,
Montgomery Travis,everything that you said in this video describes my last relationship smh. I was such a bitch and it makes me so mad,2020-09-18T01:45:49Z,1,0
Kyle Coronado,"When I was about your age Steph, I had a coworker say she just wanted me for a digging stick. Idk if that will ever happen again lol",2020-09-14T17:59:49Z,1,0
Jahmier Quayson,To all the guys watching have fun with women but be careful on which one y’all choose too start a family with,2020-09-06T22:37:43Z,2,0
Christopher Lewis,"Wellllllll....I had a woman tell me she wanted to have fun and get fuck. Then talking about, omg I can't believe I said that. I took full advantage of it. 😂😂",2020-09-01T12:29:07Z,0,0
Seb Zag,check out the story of sampson from the bible.,2020-09-01T09:00:12Z,0,0
Seb Zag,ey steph. they always been that way from the beginning. good stuff man.,2020-09-01T08:52:10Z,0,0
Cameron Jones,“To the thing that they dew”,2020-08-29T05:03:16Z,0,0
IH331,"This is amazing life saving content. I'm 40, found the red pill at 38. Wish I had this advice when I was 16 but at least I can share this with my son.Also got your Patreon.",2020-08-27T15:39:26Z,13,0
Sammi,🔥🔥,2020-08-26T20:53:26Z,0,0
