Unnamed: 0,NOAH SAMSEN,sentiment,cluster
0,hey noah can you talk about man talk another cringey incel channel lol,1,2
1,can you do a video on matt walsh s new documentary,5,2
2,you have such teeny tiny nails,1,2
3,i m not sure if i was quick enough to get the extra trees but i did sign up on wren,3,0
4,can i just thank you for not saying ww2 is ww1 because my faith in humanity has been dieing from hearing from boomers we fought the japs in ww2,1,0
5,hey regarding to the dating topic i believe the people who asked the other person to go out with them should pay for the meal man woman or otherwise now yes i am ace and a romantic but i just wanted to throw my hat in the ring have a nice day,1,1
6,it s pride month,5,0
7,do some funny tik toks dude,3,0
8,hmm batman this appears to be a simp video taking advantage of the red pill movement red pill for life,4,0
9,most women do not want to deal with male pain if it interferes with the satisfaction of female desire yeah everyone who supports the red pill agrees with you there s a reason women have such distain for these men because it s not attractive why emotional men are reckless women perceive them as dangerous and not in a bad boy kind of good way as in he can t control his emotions he might hurt me kind of way men who allow their emotions to dictate their actions are a complete disaster an unreactive man is a good man why do certain men abuse their women or kids because they are unable to control their emotions why do certain men rape because they are unable to control their desires why do certain men feel the need to kick the shit out of each other because they are unable to control their anger telling men to express their emotions is a very bad message a good man is a stoic man he does not allow how he feels to dictate his actions he is in control of his mind is mind is not in control of him you shouldn t talk about your emotions with a women if you want her to stick around women are simply not attracted to weak men who are not in control of their own life because weak men who aren t in control are dangerous,1,1
10,the patriarchy oh boy,5,0
11,was that maple story character select music 1 10,5,0
12,it soo funny to see everyone glance over the actual positions and merits of the rp philosophy and completely disregard the reason people are drawn to it in the first place in this community what is idealized is the nuclear family and a marriage with a young woman who is able to create a large family while that marriage lasts a lifetime if one is going to happen at all these men idealize and want to become the gentil patriarch or heroic artisan are also probably religious conservatives and capitalist s if you want to make a video about dissecting rp or manosphere go over the people like rollo tammassi patrice o neil alexander grace tom leykis some simple truths dating for most men is trash especially in the modern age i e demanding traditional male role while not fufilling the traditionally female role social media expands dating pools exponentially in the past everyone would be out and about not glued to their phone giving more opportunities to the average man men s sexual thirst for women on the net is mostly at fault here why date one average guy when you could have 1000 s of simps paying 5 a month to see ur puss puss average man by modern standards cant support a family let alone a woman s ever growing expectations 5 7 5 8 42k yr 39 waist one of the most common statements is that women prefer men who make 1 5x what they do minimum disregarding the ones who say 100k only or 250k or other dumb shit housing prices are also so high that in most cities 50k a year wont qualify you to purchase a house something essential for building wealth and establishing a family they say women want it all but most men would be satisfied being happy divorce is initiated by women 70 80 of the time and even more if college educated women wait to meet winners at the finish line ever since school age the men who where most desired had things wealth or looks while the rest got as close to 0 attention as humanly possible once we achieve and grow we eventually become a preferred choice after being disrespected for decades then you expect us to accept children out of wedlock and want guys to pay for all your kids macdonald s the system is designed to be played by a 2 person team and there are hardly any teammates available if 2 people made 80 100k and were willing to move to a less desirable place a family unit could easily be established theres still 50 100k houses for sale in america women don t do their part in reducing costs of building a family and instead want to compete for the breadwinner position and in doing so only increase the expenses a family must put out to cover a 2 working person house hold the whole point of a breadwinner horseperson is to make the breadwinner able to work more because one simply cannot work 60 80hrs and do home stuff and home stuff like cooking diy improvements childcare management housework are all significant causes for expense that can be mitigated through one person dedicating themselves to reducing those costs ex i could go to a restaurant and spend 50 on one meal but that same 50 in the grocery store could feed a family of four for 1 2 meals same with child care its likely going to cost 60 80 of a persons wage to cover child care without government funding most household tasks can be done simultaneously giving more personal time than would be possible in the jobs most breadwinners would take one of the most common complaints on this subject is that homemaking doesn t pay yes and no yes because it doesn t pay you with a check every 2 week but if you took his last name 50 of the equity is yours no matter what while childrearing also provides you with a guaranteed income post marriage if you decide to leave for any reason valid or not competition for the breadwinner position also increases the workforce which in turn stagnates and reduces wages due to supply and demand women s financial support has a time limit while men are expected to finically support their partner and family for the rest of their life weather they divorce or not alimony child support which is almost always awarded to women through the unjust family courts everyone says till death do you part but wont follow through with the decision and contract they brought into existence of their own free will were all adults here nobody was tricked or forced even in arranged marriages the women and their families have the power to decide weather to follow through or not 1 5 men men who have paternity tested children find out they are taking care of kids who their wife made them believe was their biological child and is not women do not usually face charges for this type of fraud family courts favor women tremendously men in need are under supported and left to rot hardly any men s shelters or safe spaces for men women regularly have random sexual escapades with many guys in their young years demand almost nothing of them then wait till the eggs are almost dried up to find the supportive family building type of guy then have a long list of demands for him to meet and deal with because of the trauma she obtained in her younger years all while the supportive family type of guy was toiling away working and learning how to make a larger than average amount of income probably at the detriment of his sex life,2,1
13,1 09 dude it says strawberry morning in arabic,1,0
14,guys who subscribe to these red pill gurus for advice on women should rather go speak to a psychologist,1,0
15,10 45 is he quoting a woman on how men should act that is as bad as a man telling how women should act i prefer robert bly in his book the iron john he discusses the masculine spiritual crisis that our society was going towards and is where we are right now it isn t the patriarchy it is a spiritual issue which even women struggle with,3,1
16,restraunts should be free if you solve their riddles three,3,2
17,and until then dine and dash,5,0
18,i thought red pill tiktok was gonna be about topics such as wrongs of lgbt rights vaccine bad or vax is good but not entirely good praise of capitalism and actual politics i mean i guess this is part of it but i see this more as alpha male tiktok than red pill tiktok,3,0
19,if you watch enough work out content on instagram it starts feeding you the sad boy gym content it s actually really sad the men making the videos do seem genuinely lonely and at least they ve found exercise as an outlet the absolute dipshits commenting on the videos take the legitimate usually innocuous loneliness and make it something so toxic,1,1
20,well women take all of the risks when dating men and there is a huge pay gap produced purposely by females so men should pay,5,1
21,well screw bell hooks another fauxmenist not a feminist for saying poor men don t get rewarded for their feelings because women don t get rewarded for their feelings either men don t deserve rewards for expressing their feelings this is what nice guys expect when guys believe if they are polite to women they are entitled to having them,1,1
22,oh no matt hussey is on this he seemed cool in a interview about his date coaching,3,0
23,idk i think the person that asked the other out should pay they planned the date and decided how expensive it would be then you can do the you can plan pay for next time,1,1
24,i will read bell hooks soon,5,0
25,15 12 gotta love the cod bo music in the background,4,0
26,how can you actually be sponsored by these pieces of shits,1,2
27,who pays for the date the one who asked or go dutch,1,1
28,welcome back to the white knight show with you host noah samsen who is also a weasle,5,0
29,i could imagine how difficult it is to wonder about whether or not my partner is sleeping with one of her friends but that would require me to have the mindset of teenage me and fuck that guy,3,1
30,id take mens lib with a great deal of salt it s very much not a space you want to go into if your a male victim of abuse or rape it s made very clear they do not care,2,1
31,matthew hussey is so far from being a red pill or even of these toxic people you have on here his main focus is on taking back power i don t think you ve researched enough about him to put him on here he s a dating coach and most of what he says has merit i haven t seen anything from him be toxic so gtfo with your portly researched analysis,1,2
32,that last clip was actually about a woman who s boyfriend wanted her to start paying for stuff and she didn t want to not about first dates not about men being required to pay,1,1
33,loving too much can be quite a bad thing even if you have the best intentions i guess you ve never read of mice and men,2,2
34,the whole reaction genre on youtube is problematic and is founded in insecurity start here,1,0
35,loving too much is quite a bad thing even if you have the best intentions i guess you ve never read of mice and men,2,2
36,this is so many flat out lies in this it s typical liberal fascism keep championing the people that fought for slavery,1,0
37,25 13 they still weren t raised right what s your point,1,0
38,23 58 well it would also be a nice thing for a woman to cook and yes many women do demand and say men have to pay what planet do you live on ever heard if he doesn t pay on the first date there would no second date bruh why are you so fake,1,1
39,just personally if i m the one asking someone out to a date then i m paying for it unless they insist to split it the same goes the other way around,1,1
40,i m a women and i split the bill on the first date so my girl friends maybe you are the problem,1,1
41,omg the fruit animalllsssss the arabic words are actually wordplay of the fruit and animal and it s so cute omg,5,1
42,i kinda like the strawberry elephant,3,0
43,if you need to cut out your partners friends it means that you don t trust either your partner its friends or both why then why would you date someone you don t trust with friends with wouldnt trust,1,2
44,5 11 mista steal yo gurl,1,0
45,i love this guy but i can t take him serious with the arc teryx on,4,0
46,so if i pay the bill i get to peg you that s their logic,3,2
47,mathew hussey is actually a feminist that clip kinda taken out of context he gives good dating advice to women,3,0
48,the tom and jerry stuff had me cracking up,2,0
49,i agree that a lot of men are toxic and the mano sphere is a problem that being said if this many men are agreeing with sentiments like women don t care about your problems or you will be emotionally punished by women for being vulnerable maybe that s something we should actually address it just seems strange how hesitant we are to entertain the idea that misandry by women in certain areas maybe are also part of patriarchy,2,1
50,noah also gets wrong about the second clip because its not about not expressing you feelings as a man you can but not in ways where the woman would percieve you as a red flag theres a limit one should try to make a first date as fun and positive as possible,2,2
51,17 30 i find it hilarious that he talks this bs over a christian song,5,0
52,how dare you clock portlandia so accurately sincerely a former portland oregonian,5,0
