,TOM SCOTT,sentiment,cluster
0,id take a boat out there with a bbq and wait for one to volunteer to be my dinner,1,1
1,can birds not carry their eggs to the other side,2,2
2,they tried this with velociraptors,1,0
3,i like to see guys using 12ga shotguns on these jumping fish,4,1
4,human intervention does harm let s intervene,5,1
5,fish zzzz people xp,1,1
6,i m glad that the military is being deployed to combat the country s real enemy fish,5,1
7,i don t understand why they incompacitate them instead of kill them if they re invasive then what s the problem is it animal rights,1,2
8,god bless america,5,1
9,why won t they use fish nets i know problem is more complex but it could be used in more effective ways much much cheaper than electric power house,2,2
10,how does it stun the fish but kill a person,4,2
11,they should add a huge dry dock and recycle the water they use to fill and empty it,4,2
12,they playing real life tower defense out here,5,1
13,turn up the volts and kill them they will get in it s not like we want them just like the hogs in the south,3,2
14,when he was talking about the different defenses they were looking into i was like well dont make it public the fish will find out then realized im stupid,1,2
15,mao and the sparrows damn no one studies history anymore,1,1
16,power outage enters chat,4,1
17,this guy is bluepilled,1,0
18,that is not taking evolution in consideration in a few generations there will be electrician carps neutralizing this barrier,3,0
19,sadly they will end up making it into the great lakes an entire run of rivers and canals decimated for other native fish because of humans,2,2
20,be thankful aliens haven t decided humans are like these carp an ecological disaster,1,1
21,they are already in the great lakes i worked on lake erie for years and they were there the bigger problem is the fact that detroit and various other industrial city s dumping toxic material into the lake causing massive dead zones,2,2
22,a few weeks ago there was a silver carp that got shoked by the dnr above the electric gate not saying they are taking over but it may happen if more get through,2,2
23,they should add some sharks to the rivers i m sure that won t cause any long term issues,3,2
24,spinosate box wormdead,3,1
25,spinosate carp in mississippi,3,1
26,need to electrify the rio grande asap,3,0
27,obviously great pains are made to negate the human interference of introducing the carp this too seems like great costly pains,1,2
28,hello rio grande,5,0
29,if asian carp was more like halibut or even cod there would be no problem at all,3,2
30,tow a light low wide barge behind the a fast boat and all those fish will just jump in,5,2
31,they should shut the canal off completely the risk reward is way too heavy on the risk side,2,2
32,gotta start eating them,5,1
33,and what bout fishes,5,1
34,cool but with how close it s been already i feel like it s going to happen eventually,3,2
35,they should use big long nets also string them across the river in a few different places,3,2
36,there is no possible way to kill off these fish now that they have been introduced right so from now to eternity we will have to do things like electric barriers because people couldn t just keep their hands off nature and not introduce an invasive species,5,2
37,what if instead we utilize how they jump out of water from being startled,3,2
38,it will be some pud fisherman with a bucket full of canal minnows for bait to fish lake superior that s going to get this environmental disaster started at the end of a days fishing what s left in the bucket gets tossed into the lake and were off to the races mark my words its not if they get into the great lakes its when and it will happen,1,2
39,im from peoria and i didn t know this,1,0
40,broski are you meaning to say trucks are worse for the enviorment then a few fish,1,1
41,that s what we need at border with higher output,3,0
42,why not place a bounty on the carp and use fishing licence taxes and other funds to fund the bounty per fish amazing how fast something can be wiped out or at least reduced to a more manageable level when money is involved,1,2
43,they really should just close the canal most of these goods can be loaded on rail cars no congestion eventually something will get through and the lakes will be ruined forever,5,2
44,3 32 duck goes under in the background and never resurfaces,1,1
45,simple solution get rid of the fish and free fertilizer build buoys that ride behind the boats that are like 20 feet of putting nets in between them drive the boat up and down the river does the fish jump out of the water they land in the net behind the boat as you see in every video jump from the sides landon the nets you catch hundreds of carbs by driving up and down the river not harsh come on people,4,2
46,why not use giant nets at different positions to prevent the fish from going through and the nets can be used like a opening bridge of sorts when a boat needs to go by doesn t this electrocution thing seem like an overkill,2,2
47,to say it s america im surprised they haven t got snipers watching the river,1,1
48,where can i find this electric water,5,0
49,ya no terrorist thanks just a idea to give people in recreational waters,5,1
50,grew up in the peoria area we would get jet skis and john boats and shoot the carp with shotguns when they jumped out of the water good fun,4,2
