,SHNECKO,STEPHISCOLD,RUSSELL BRAND,TOM SCOTT,NOAH SAMSEN
0,first day out youtube jail,mother expresses how my father and grandfather had multiple woman and how they were selfish yet these were men they choose to continually pursue it is what it is,thanks for being an honest thinker russel its rare,id take a boat out there with a bbq and wait for one to volunteer to be my dinner,hey noah can you talk about man talk another cringey incel channel lol
1,welcome back brother,whats the song in intro,what s interesting is that psychometrics also observes that critics of the scientific consensus of cliamre change tend to be individualistic pro corporations and anti government people who accept the consensus tend to be the opposite people rarely seem to make rational choices and are victims to their identities,can birds not carry their eggs to the other side,can you do a video on matt walsh s new documentary
2,we need more people like you,you know i always liked you me i know bend over and arch that back hit bout 3 times and then im out lol,2 15 the people who are the enemy of masculinity in men will also be the enemy of masculinity in women respectfully i d say this seems a bit oversimple when jung is right he s uncannily so other times it s like using legos for advanced architecture,they tried this with velociraptors,you have such teeny tiny nails
3,watch dayz of noah,thank you for the truth neva stop,thank russel you are a brave celebrity that wants good for humanity and the world please look into religion and the purpose of life we loved your talk we cat steven,i like to see guys using 12ga shotguns on these jumping fish,i m not sure if i was quick enough to get the extra trees but i did sign up on wren
4,when you gonna fight brandon buckingham,nvm i feel stupid for asking what a 304 is now,hay russel before i listen i can t believe it,human intervention does harm let s intervene,can i just thank you for not saying ww2 is ww1 because my faith in humanity has been dieing from hearing from boomers we fought the japs in ww2
5,i m on facebook jail man free me,the moment you fall for her trap it s a wrap pastor steph,hello brother hope all is well thankyou for this interview jordan is a person who i greatly admire and to listen and hear what you two gents are discussing is soooooo refreshing again thanks for the time taken to have these conversations,fish zzzz people xp,hey regarding to the dating topic i believe the people who asked the other person to go out with them should pay for the meal man woman or otherwise now yes i am ace and a romantic but i just wanted to throw my hat in the ring have a nice day
6,masculinity will live on,what s a 304 you a fool steph,i m glad you got sober and didn t die love is real,i m glad that the military is being deployed to combat the country s real enemy fish,it s pride month
7,u got a strike,my cousin put me on to stephiscold not gonna lie he s speaking facts you think she s not like that but you ll eventually realize that your just been stupid you lie to yourself everyday you give her power to your life everyday you have to stand on your man hood and have no expectations for the disrespect these type of girls will squeeze your energy your pockets and your time the moment she feels like you have nothing else to offer i promise she will leave and blame you and if your dumb enough to believe it you ll always will be step on and laughed at you have to accept it and move on you took an l oh well lesson learn not the end bro work on yourself,that metro feminist man bun is so 2000,i don t understand why they incompacitate them instead of kill them if they re invasive then what s the problem is it animal rights,do some funny tik toks dude
8,miss your subway train interviews you used to do back in the day bro interviewing random ppl on there way to work hope you bring those videos back,i ve accepted this and i m enjoying the new me,awesome conversation keep up the amazing work russel,god bless america,hmm batman this appears to be a simp video taking advantage of the red pill movement red pill for life
9,rt don t use bottled water get a brita or whatever the fuck and drink outta dat fr,it hurts to know the reason you got hurt is because you re forwards,we need to push for all of our american politicians as far as the presidential debates go to be put on a platform like this or joe rogan s as a mandatory stop on the way to presidency no more sound bite decision making,why won t they use fish nets i know problem is more complex but it could be used in more effective ways much much cheaper than electric power house,most women do not want to deal with male pain if it interferes with the satisfaction of female desire yeah everyone who supports the red pill agrees with you there s a reason women have such distain for these men because it s not attractive why emotional men are reckless women perceive them as dangerous and not in a bad boy kind of good way as in he can t control his emotions he might hurt me kind of way men who allow their emotions to dictate their actions are a complete disaster an unreactive man is a good man why do certain men abuse their women or kids because they are unable to control their emotions why do certain men rape because they are unable to control their desires why do certain men feel the need to kick the shit out of each other because they are unable to control their anger telling men to express their emotions is a very bad message a good man is a stoic man he does not allow how he feels to dictate his actions he is in control of his mind is mind is not in control of him you shouldn t talk about your emotions with a women if you want her to stick around women are simply not attracted to weak men who are not in control of their own life because weak men who aren t in control are dangerous
